INSERT INTO Batch (ingredient_id, received_date, expiry_date, quantity_current, location) VALUES
(1, '2024-01-01', '2024-06-01', 120.5, 'Storage A'),
(2, '2024-01-02', '2024-06-05', 85.0, 'Storage B'),
(3, '2024-01-03', '2024-06-10', 40.2, 'Shelf 1'),
(4, '2024-01-04', '2024-06-12', 65.7, 'Shelf 2'),
(5, '2024-01-05', '2024-06-15', 102.0, 'Storage A'),
(6, '2024-01-06', '2024-06-20', 55.4, 'Cold Room'),
(7, '2024-01-07', '2024-06-22', 300.0, 'Shelf 3'),
(8, '2024-01-08', '2024-06-25', 22.5, 'Shelf 4'),
(9, '2024-01-09', '2024-06-28', 75.0, 'Storage C'),
(10, '2024-01-10', '2024-07-01', 110.0, 'Storage A'),
(11, '2024-01-11', '2024-07-03', 15.0, 'Shelf 1'),
(12, '2024-01-12', '2024-07-05', 90.0, 'Cold Room'),
(13, '2024-01-13', '2024-07-08', 200.0, 'Fridge'),
(14, '2024-01-14', '2024-07-10', 18.5, 'Shelf 2'),
(15, '2024-01-15', '2024-07-12', 14.0, 'Storage B'),
(16, '2024-01-16', '2024-07-14', 33.0, 'Shelf 4'),
(17, '2024-01-17', '2024-07-15', 12.5, 'Storage D'),
(18, '2024-01-18', '2024-07-18', 50.0, 'Cold Room'),
(19, '2024-01-19', '2024-07-20', 40.0, 'Shelf 1'),
(20, '2024-01-20', '2024-07-22', 25.0, 'Storage A'),
(21, '2024-01-21', '2024-07-25', 100.0, 'Storage C'),
(22, '2024-01-22', '2024-07-26', 80.0, 'Shelf 3'),
(23, '2024-01-23', '2024-07-28', 12.0, 'Storage B'),
(24, '2024-01-24', '2024-07-30', 45.0, 'Cold Room'),
(25, '2024-01-25', '2024-08-01', 32.0, 'Shelf 2'),
(26, '2024-01-26', '2024-08-03', 21.0, 'Shelf 3'),
(27, '2024-01-27', '2024-08-05', 110.0, 'Storage A'),
(28, '2024-01-28', '2024-08-07', 77.0, 'Storage D'),
(29, '2024-01-29', '2024-08-09', 66.0, 'Storage B'),
(30, '2024-01-30', '2024-08-10', 14.0, 'Shelf 1'),
(31, '2024-02-01', '2024-08-12', 90.0, 'Cold Room'),
(32, '2024-02-02', '2024-08-14', 43.0, 'Shelf 2'),
(33, '2024-02-03', '2024-08-15', 55.0, 'Shelf 4'),
(34, '2024-02-04', '2024-08-17', 200.0, 'Storage C'),
(35, '2024-02-05', '2024-08-19', 10.0, 'Fridge'),
(36, '2024-02-06', '2024-08-21', 22.0, 'Shelf 3'),
(37, '2024-02-07', '2024-08-23', 15.0, 'Storage B'),
(38, '2024-02-08', '2024-08-25', 14.0, 'Shelf 1'),
(39, '2024-02-09', '2024-08-27', 80.0, 'Cold Room'),
(40, '2024-02-10', '2024-08-29', 130.0, 'Storage A'),
(41, '2024-02-11', '2024-08-30', 65.0, 'Shelf 4'),
(42, '2024-02-12', '2024-09-01', 20.0, 'Shelf 3'),
(43, '2024-02-13', '2024-09-03', 95.5, 'Storage D'),
(44, '2024-02-14', '2024-09-05', 75.0, 'Shelf 2'),
(45, '2024-02-15', '2024-09-07', 18.0, 'Storage C'),
(46, '2024-02-16', '2024-09-09', 22.0, 'Fridge'),
(47, '2024-02-17', '2024-09-10', 33.0, 'Shelf 1'),
(48, '2024-02-18', '2024-09-12', 49.0, 'Storage A'),
(49, '2024-02-19', '2024-09-14', 70.0, 'Shelf 4'),
(50, '2024-02-20', '2024-09-16', 19.0, 'Shelf 2'),
(51, '2024-02-21', '2024-09-18', 42.0, 'Storage B'),
(52, '2024-02-22', '2024-09-20', 63.0, 'Storage D'),
(53, '2024-02-23', '2024-09-22', 112.0, 'Cold Room'),
(54, '2024-02-24', '2024-09-24', 120.0, 'Storage C'),
(55, '2024-02-25', '2024-09-26', 130.0, 'Shelf 3'),
(56, '2024-02-26', '2024-09-28', 15.0, 'Shelf 1'),
(57, '2024-02-27', '2024-09-30', 20.0, 'Storage A'),
(58, '2024-02-28', '2024-10-02', 60.0, 'Shelf 2'),
(59, '2024-03-01', '2024-10-04', 44.0, 'Shelf 4'),
(60, '2024-03-02', '2024-10-06', 55.0, 'Cold Room'),
(1, '2024-03-03', '2024-10-08', 111.0, 'Shelf 3'),
(2, '2024-03-04', '2024-10-10', 98.0, 'Storage B'),
(3, '2024-03-05', '2024-10-12', 17.0, 'Shelf 1'),
(4, '2024-03-06', '2024-10-14', 29.0, 'Storage A'),
(5, '2024-03-07', '2024-10-16', 80.0, 'Shelf 2'),
(6, '2024-03-08', '2024-10-18', 92.0, 'Cold Room'),
(7, '2024-03-09', '2024-10-20', 66.0, 'Shelf 4'),
(8, '2024-03-10', '2024-10-22', 50.0, 'Storage C'),
(9, '2024-03-11', '2024-10-24', 77.0, 'Shelf 3'),
(10, '2024-03-12', '2024-10-26', 99.0, 'Fridge'),
(11, '2024-03-13', '2024-10-28', 88.0, 'Shelf 2'),
(12, '2024-03-14', '2024-10-30', 13.0, 'Shelf 1'),
(13, '2024-03-15', '2024-11-01', 24.0, 'Storage B'),
(14, '2024-03-16', '2024-11-03', 55.0, 'Storage D'),
(15, '2024-03-17', '2024-11-05', 72.0, 'Shelf 4'),
(16, '2024-03-18', '2024-11-07', 83.0, 'Storage A'),
(17, '2024-03-19', '2024-11-09', 64.0, 'Cold Room'),
(18, '2024-03-20', '2024-11-11', 20.0, 'Shelf 3');
